keyword,search_volume,competition,competition_level,cpc,monthly_searches
ina garten lentils,260,LOW,,,"[{'year': 2025, 'month': 6, 'search_volume': 210}, {'year': 2025, 'month': 5, 'search_volume': 210}, {'year': 2025, 'month': 4, 'search_volume': 260}, {'year': 2025, 'month': 3, 'search_volume': 320}, {'year': 2025, 'month': 2, 'search_volume': 320}, {'year': 2025, 'month': 1, 'search_volume': 480}, {'year': 2024, 'month': 12, 'search_volume': 320}, {'year': 2024, 'month': 11, 'search_volume': 320}, {'year': 2024, 'month': 10, 'search_volume': 320}, {'year': 2024, 'month': 9, 'search_volume': 260}, {'year': 2024, 'month': 8, 'search_volume': 170}, {'year': 2024, 'month': 7, 'search_volume': 170}]"
ina lentil soup,260,LOW,,,"[{'year': 2025, 'month': 6, 'search_volume': 110}, {'year': 2025, 'month': 5, 'search_volume': 110}, {'year': 2025, 'month': 4, 'search_volume': 170}, {'year': 2025, 'month': 3, 'search_volume': 260}, {'year': 2025, 'month': 2, 'search_volume': 390}, {'year': 2025, 'month': 1, 'search_volume': 590}, {'year': 2024, 'month': 12, 'search_volume': 480}, {'year': 2024, 'month': 11, 'search_volume': 480}, {'year': 2024, 'month': 10, 'search_volume': 390}, {'year': 2024, 'month': 9, 'search_volume': 210}, {'year': 2024, 'month': 8, 'search_volume': 70}, {'year': 2024, 'month': 7, 'search_volume': 90}]"
indian lentils and rice,140,LOW,,,"[{'year': 2025, 'month': 6, 'search_volume': 140}, {'year': 2025, 'month': 5, 'search_volume': 140}, {'year': 2025, 'month': 4, 'search_volume': 140}, {'year': 2025, 'month': 3, 'search_volume': 110}, {'year': 2025, 'month': 2, 'search_volume': 110}, {'year': 2025, 'month': 1, 'search_volume': 140}, {'year': 2024, 'month': 12, 'search_volume': 110}, {'year': 2024, 'month': 11, 'search_volume': 110}, {'year': 2024, 'month': 10, 'search_volume': 140}, {'year': 2024, 'month': 9, 'search_volume': 140}, {'year': 2024, 'month': 8, 'search_volume': 140}, {'year': 2024, 'month': 7, 'search_volume': 140}]"
instant pot black lentils,210,LOW,,,"[{'year': 2025, 'month': 6, 'search_volume': 170}, {'year': 2025, 'month': 5, 'search_volume': 170}, {'year': 2025, 'month': 4, 'search_volume': 170}, {'year': 2025, 'month': 3, 'search_volume': 210}, {'year': 2025, 'month': 2, 'search_volume': 170}, {'year': 2025, 'month': 1, 'search_volume': 260}, {'year': 2024, 'month': 12, 'search_volume': 170}, {'year': 2024, 'month': 11, 'search_volume': 210}, {'year': 2024, 'month': 10, 'search_volume': 210}, {'year': 2024, 'month': 9, 'search_volume': 210}, {'year': 2024, 'month': 8, 'search_volume': 260}, {'year': 2024, 'month': 7, 'search_volume': 210}]"
instant pot brown lentils,170,LOW,,,"[{'year': 2025, 'month': 6, 'search_volume': 170}, {'year': 2025, 'month': 5, 'search_volume': 170}, {'year': 2025, 'month': 4, 'search_volume': 170}, {'year': 2025, 'month': 3, 'search_volume': 170}, {'year': 2025, 'month': 2, 'search_volume': 170}, {'year': 2025, 'month': 1, 'search_volume': 260}, {'year': 2024, 'month': 12, 'search_volume': 170}, {'year': 2024, 'month': 11, 'search_volume': 170}, {'year': 2024, 'month': 10, 'search_volume': 170}, {'year': 2024, 'month': 9, 'search_volume': 170}, {'year': 2024, 'month': 8, 'search_volume': 170}, {'year': 2024, 'month': 7, 'search_volume': 210}]"
instant pot french lentils,90,LOW,,,"[{'year': 2025, 'month': 6, 'search_volume': 70}, {'year': 2025, 'month': 5, 'search_volume': 70}, {'year': 2025, 'month': 4, 'search_volume': 70}, {'year': 2025, 'month': 3, 'search_volume': 90}, {'year': 2025, 'month': 2, 'search_volume': 70}, {'year': 2025, 'month': 1, 'search_volume': 90}, {'year': 2024, 'month': 12, 'search_volume': 90}, {'year': 2024, 'month': 11, 'search_volume': 90}, {'year': 2024, 'month': 10, 'search_volume': 70}, {'year': 2024, 'month': 9, 'search_volume': 90}, {'year': 2024, 'month': 8, 'search_volume': 90}, {'year': 2024, 'month': 7, 'search_volume': 90}]"
instant pot green lentils,480,LOW,,,"[{'year': 2025, 'month': 6, 'search_volume': 390}, {'year': 2025, 'month': 5, 'search_volume': 390}, {'year': 2025, 'month': 4, 'search_volume': 390}, {'year': 2025, 'month': 3, 'search_volume': 590}, {'year': 2025, 'month': 2, 'search_volume': 480}, {'year': 2025, 'month': 1, 'search_volume': 590}, {'year': 2024, 'month': 12, 'search_volume': 390}, {'year': 2024, 'month': 11, 'search_volume': 480}, {'year': 2024, 'month': 10, 'search_volume': 480}, {'year': 2024, 'month': 9, 'search_volume': 480}, {'year': 2024, 'month': 8, 'search_volume': 480}, {'year': 2024, 'month': 7, 'search_volume': 390}]"
instant pot lentil,4400,LOW,,,"[{'year': 2025, 'month': 6, 'search_volume': 3600}, {'year': 2025, 'month': 5, 'search_volume': 4400}, {'year': 2025, 'month': 4, 'search_volume': 4400}, {'year': 2025, 'month': 3, 'search_volume': 4400}, {'year': 2025, 'month': 2, 'search_volume': 4400}, {'year': 2025, 'month': 1, 'search_volume': 6600}, {'year': 2024, 'month': 12, 'search_volume': 4400}, {'year': 2024, 'month': 11, 'search_volume': 4400}, {'year': 2024, 'month': 10, 'search_volume': 4400}, {'year': 2024, 'month': 9, 'search_volume': 5400}, {'year': 2024, 'month': 8, 'search_volume': 5400}, {'year': 2024, 'month': 7, 'search_volume': 4400}]"
instant pot lentil sloppy joes,70,LOW,,,"[{'year': 2025, 'month': 6, 'search_volume': 40}, {'year': 2025, 'month': 5, 'search_volume': 50}, {'year': 2025, 'month': 4, 'search_volume': 50}, {'year': 2025, 'month': 3, 'search_volume': 70}, {'year': 2025, 'month': 2, 'search_volume': 70}, {'year': 2025, 'month': 1, 'search_volume': 90}, {'year': 2024, 'month': 12, 'search_volume': 30}, {'year': 2024, 'month': 11, 'search_volume': 40}, {'year': 2024, 'month': 10, 'search_volume': 50}, {'year': 2024, 'month': 9, 'search_volume': 70}, {'year': 2024, 'month': 8, 'search_volume': 70}, {'year': 2024, 'month': 7, 'search_volume': 90}]"
instant pot lentil soup with potatoes,40,LOW,,,"[{'year': 2025, 'month': 6, 'search_volume': 20}, {'year': 2025, 'month': 5, 'search_volume': 30}, {'year': 2025, 'month': 4, 'search_volume': 30}, {'year': 2025, 'month': 3, 'search_volume': 50}, {'year': 2025, 'month': 2, 'search_volume': 70}, {'year': 2025, 'month': 1, 'search_volume': 70}, {'year': 2024, 'month': 12, 'search_volume': 70}, {'year': 2024, 'month': 11, 'search_volume': 50}, {'year': 2024, 'month': 10, 'search_volume': 30}, {'year': 2024, 'month': 9, 'search_volume': 20}, {'year': 2024, 'month': 8, 'search_volume': 20}, {'year': 2024, 'month': 7, 'search_volume': 20}]"
instant pot lentils and rice,320,LOW,,,"[{'year': 2025, 'month': 6, 'search_volume': 320}, {'year': 2025, 'month': 5, 'search_volume': 320}, {'year': 2025, 'month': 4, 'search_volume': 320}, {'year': 2025, 'month': 3, 'search_volume': 320}, {'year': 2025, 'month': 2, 'search_volume': 320}, {'year': 2025, 'month': 1, 'search_volume': 390}, {'year': 2024, 'month': 12, 'search_volume': 260}, {'year': 2024, 'month': 11, 'search_volume': 260}, {'year': 2024, 'month': 10, 'search_volume': 260}, {'year': 2024, 'month': 9, 'search_volume': 320}, {'year': 2024, 'month': 8, 'search_volume': 320}, {'year': 2024, 'month': 7, 'search_volume': 320}]"
instant pot red lentil soup,390,LOW,,,"[{'year': 2025, 'month': 6, 'search_volume': 210}, {'year': 2025, 'month': 5, 'search_volume': 260}, {'year': 2025, 'month': 4, 'search_volume': 320}, {'year': 2025, 'month': 3, 'search_volume': 390}, {'year': 2025, 'month': 2, 'search_volume': 480}, {'year': 2025, 'month': 1, 'search_volume': 720}, {'year': 2024, 'month': 12, 'search_volume': 480}, {'year': 2024, 'month': 11, 'search_volume': 480}, {'year': 2024, 'month': 10, 'search_volume': 480}, {'year': 2024, 'month': 9, 'search_volume': 320}, {'year': 2024, 'month': 8, 'search_volume': 260}, {'year': 2024, 'month': 7, 'search_volume': 170}]"
instant pot red lentils,590,LOW,,,"[{'year': 2025, 'month': 6, 'search_volume': 480}, {'year': 2025, 'month': 5, 'search_volume': 590}, {'year': 2025, 'month': 4, 'search_volume': 590}, {'year': 2025, 'month': 3, 'search_volume': 590}, {'year': 2025, 'month': 2, 'search_volume': 590}, {'year': 2025, 'month': 1, 'search_volume': 880}, {'year': 2024, 'month': 12, 'search_volume': 720}, {'year': 2024, 'month': 11, 'search_volume': 720}, {'year': 2024, 'month': 10, 'search_volume': 590}, {'year': 2024, 'month': 9, 'search_volume': 720}, {'year': 2024, 'month': 8, 'search_volume': 590}, {'year': 2024, 'month': 7, 'search_volume': 590}]"
instant pot rice and lentils,320,LOW,,,"[{'year': 2025, 'month': 6, 'search_volume': 320}, {'year': 2025, 'month': 5, 'search_volume': 320}, {'year': 2025, 'month': 4, 'search_volume': 320}, {'year': 2025, 'month': 3, 'search_volume': 320}, {'year': 2025, 'month': 2, 'search_volume': 320}, {'year': 2025, 'month': 1, 'search_volume': 390}, {'year': 2024, 'month': 12, 'search_volume': 260}, {'year': 2024, 'month': 11, 'search_volume': 260}, {'year': 2024, 'month': 10, 'search_volume': 260}, {'year': 2024, 'month': 9, 'search_volume': 320}, {'year': 2024, 'month': 8, 'search_volume': 320}, {'year': 2024, 'month': 7, 'search_volume': 320}]"
israeli lentil soup,70,LOW,,,"[{'year': 2025, 'month': 6, 'search_volume': 50}, {'year': 2025, 'month': 5, 'search_volume': 40}, {'year': 2025, 'month': 4, 'search_volume': 70}, {'year': 2025, 'month': 3, 'search_volume': 70}, {'year': 2025, 'month': 2, 'search_volume': 70}, {'year': 2025, 'month': 1, 'search_volume': 90}, {'year': 2024, 'month': 12, 'search_volume': 110}, {'year': 2024, 'month': 11, 'search_volume': 70}, {'year': 2024, 'month': 10, 'search_volume': 70}, {'year': 2024, 'month': 9, 'search_volume': 70}, {'year': 2024, 'month': 8, 'search_volume': 50}, {'year': 2024, 'month': 7, 'search_volume': 40}]"
jamie oliver lentil soup,210,LOW,,,"[{'year': 2025, 'month': 6, 'search_volume': 90}, {'year': 2025, 'month': 5, 'search_volume': 140}, {'year': 2025, 'month': 4, 'search_volume': 110}, {'year': 2025, 'month': 3, 'search_volume': 170}, {'year': 2025, 'month': 2, 'search_volume': 260}, {'year': 2025, 'month': 1, 'search_volume': 480}, {'year': 2024, 'month': 12, 'search_volume': 320}, {'year': 2024, 'month': 11, 'search_volume': 260}, {'year': 2024, 'month': 10, 'search_volume': 320}, {'year': 2024, 'month': 9, 'search_volume': 210}, {'year': 2024, 'month': 8, 'search_volume': 110}, {'year': 2024, 'month': 7, 'search_volume': 70}]"
kale and lentil soup,1900,LOW,,0.25,"[{'year': 2025, 'month': 6, 'search_volume': 1000}, {'year': 2025, 'month': 5, 'search_volume': 1300}, {'year': 2025, 'month': 4, 'search_volume': 1300}, {'year': 2025, 'month': 3, 'search_volume': 1900}, {'year': 2025, 'month': 2, 'search_volume': 2400}, {'year': 2025, 'month': 1, 'search_volume': 3600}, {'year': 2024, 'month': 12, 'search_volume': 2400}, {'year': 2024, 'month': 11, 'search_volume': 2400}, {'year': 2024, 'month': 10, 'search_volume': 2400}, {'year': 2024, 'month': 9, 'search_volume': 1600}, {'year': 2024, 'month': 8, 'search_volume': 1000}, {'year': 2024, 'month': 7, 'search_volume': 1000}]"
kale lentil soup,1900,LOW,,0.25,"[{'year': 2025, 'month': 6, 'search_volume': 1000}, {'year': 2025, 'month': 5, 'search_volume': 1300}, {'year': 2025, 'month': 4, 'search_volume': 1300}, {'year': 2025, 'month': 3, 'search_volume': 1900}, {'year': 2025, 'month': 2, 'search_volume': 2400}, {'year': 2025, 'month': 1, 'search_volume': 3600}, {'year': 2024, 'month': 12, 'search_volume': 2400}, {'year': 2024, 'month': 11, 'search_volume': 2400}, {'year': 2024, 'month': 10, 'search_volume': 2400}, {'year': 2024, 'month': 9, 'search_volume': 1600}, {'year': 2024, 'month': 8, 'search_volume': 1000}, {'year': 2024, 'month': 7, 'search_volume': 1000}]"
korean lentils,170,LOW,,,"[{'year': 2025, 'month': 6, 'search_volume': 210}, {'year': 2025, 'month': 5, 'search_volume': 210}, {'year': 2025, 'month': 4, 'search_volume': 260}, {'year': 2025, 'month': 3, 'search_volume': 210}, {'year': 2025, 'month': 2, 'search_volume': 140}, {'year': 2025, 'month': 1, 'search_volume': 170}, {'year': 2024, 'month': 12, 'search_volume': 140}, {'year': 2024, 'month': 11, 'search_volume': 170}, {'year': 2024, 'month': 10, 'search_volume': 140}, {'year': 2024, 'month': 9, 'search_volume': 140}, {'year': 2024, 'month': 8, 'search_volume': 170}, {'year': 2024, 'month': 7, 'search_volume': 170}]"
laird lentils,40,LOW,,,"[{'year': 2025, 'month': 6, 'search_volume': 20}, {'year': 2025, 'month': 5, 'search_volume': 40}, {'year': 2025, 'month': 4, 'search_volume': 50}, {'year': 2025, 'month': 3, 'search_volume': 40}, {'year': 2025, 'month': 2, 'search_volume': 70}, {'year': 2025, 'month': 1, 'search_volume': 50}, {'year': 2024, 'month': 12, 'search_volume': 40}, {'year': 2024, 'month': 11, 'search_volume': 50}, {'year': 2024, 'month': 10, 'search_volume': 50}, {'year': 2024, 'month': 9, 'search_volume': 50}, {'year': 2024, 'month': 8, 'search_volume': 30}, {'year': 2024, 'month': 7, 'search_volume': 30}]"
lebanese lentil rice,480,LOW,,,"[{'year': 2025, 'month': 6, 'search_volume': 480}, {'year': 2025, 'month': 5, 'search_volume': 480}, {'year': 2025, 'month': 4, 'search_volume': 590}, {'year': 2025, 'month': 3, 'search_volume': 590}, {'year': 2025, 'month': 2, 'search_volume': 480}, {'year': 2025, 'month': 1, 'search_volume': 590}, {'year': 2024, 'month': 12, 'search_volume': 390}, {'year': 2024, 'month': 11, 'search_volume': 480}, {'year': 2024, 'month': 10, 'search_volume': 590}, {'year': 2024, 'month': 9, 'search_volume': 480}, {'year': 2024, 'month': 8, 'search_volume': 480}, {'year': 2024, 'month': 7, 'search_volume': 480}]"
lebanese lentils,210,LOW,,,"[{'year': 2025, 'month': 6, 'search_volume': 170}, {'year': 2025, 'month': 5, 'search_volume': 170}, {'year': 2025, 'month': 4, 'search_volume': 210}, {'year': 2025, 'month': 3, 'search_volume': 210}, {'year': 2025, 'month': 2, 'search_volume': 170}, {'year': 2025, 'month': 1, 'search_volume': 260}, {'year': 2024, 'month': 12, 'search_volume': 260}, {'year': 2024, 'month': 11, 'search_volume': 170}, {'year': 2024, 'month': 10, 'search_volume': 210}, {'year': 2024, 'month': 9, 'search_volume': 170}, {'year': 2024, 'month': 8, 'search_volume': 210}, {'year': 2024, 'month': 7, 'search_volume': 170}]"
lebanese lentils and rice,480,LOW,,,"[{'year': 2025, 'month': 6, 'search_volume': 480}, {'year': 2025, 'month': 5, 'search_volume': 480}, {'year': 2025, 'month': 4, 'search_volume': 590}, {'year': 2025, 'month': 3, 'search_volume': 590}, {'year': 2025, 'month': 2, 'search_volume': 480}, {'year': 2025, 'month': 1, 'search_volume': 590}, {'year': 2024, 'month': 12, 'search_volume': 390}, {'year': 2024, 'month': 11, 'search_volume': 480}, {'year': 2024, 'month': 10, 'search_volume': 590}, {'year': 2024, 'month': 9, 'search_volume': 480}, {'year': 2024, 'month': 8, 'search_volume': 480}, {'year': 2024, 'month': 7, 'search_volume': 480}]"
lebanese soup,260,LOW,,,"[{'year': 2025, 'month': 6, 'search_volume': 210}, {'year': 2025, 'month': 5, 'search_volume': 210}, {'year': 2025, 'month': 4, 'search_volume': 210}, {'year': 2025, 'month': 3, 'search_volume': 320}, {'year': 2025, 'month': 2, 'search_volume': 320}, {'year': 2025, 'month': 1, 'search_volume': 390}, {'year': 2024, 'month': 12, 'search_volume': 390}, {'year': 2024, 'month': 11, 'search_volume': 390}, {'year': 2024, 'month': 10, 'search_volume': 390}, {'year': 2024, 'month': 9, 'search_volume': 260}, {'year': 2024, 'month': 8, 'search_volume': 170}, {'year': 2024, 'month': 7, 'search_volume': 170}]"
leftover lentils,70,LOW,,,"[{'year': 2025, 'month': 6, 'search_volume': 50}, {'year': 2025, 'month': 5, 'search_volume': 50}, {'year': 2025, 'month': 4, 'search_volume': 50}, {'year': 2025, 'month': 3, 'search_volume': 70}, {'year': 2025, 'month': 2, 'search_volume': 90}, {'year': 2025, 'month': 1, 'search_volume': 110}, {'year': 2024, 'month': 12, 'search_volume': 70}, {'year': 2024, 'month': 11, 'search_volume': 40}, {'year': 2024, 'month': 10, 'search_volume': 70}, {'year': 2024, 'month': 9, 'search_volume': 70}, {'year': 2024, 'month': 8, 'search_volume': 70}, {'year': 2024, 'month': 7, 'search_volume': 70}]"
lentil and coconut soup,880,LOW,,0.4,"[{'year': 2025, 'month': 6, 'search_volume': 480}, {'year': 2025, 'month': 5, 'search_volume': 590}, {'year': 2025, 'month': 4, 'search_volume': 720}, {'year': 2025, 'month': 3, 'search_volume': 1000}, {'year': 2025, 'month': 2, 'search_volume': 1000}, {'year': 2025, 'month': 1, 'search_volume': 1600}, {'year': 2024, 'month': 12, 'search_volume': 1000}, {'year': 2024, 'month': 11, 'search_volume': 1300}, {'year': 2024, 'month': 10, 'search_volume': 1000}, {'year': 2024, 'month': 9, 'search_volume': 720}, {'year': 2024, 'month': 8, 'search_volume': 590}, {'year': 2024, 'month': 7, 'search_volume': 590}]"
lentil and pea soup,260,LOW,,0.63,"[{'year': 2025, 'month': 6, 'search_volume': 210}, {'year': 2025, 'month': 5, 'search_volume': 210}, {'year': 2025, 'month': 4, 'search_volume': 260}, {'year': 2025, 'month': 3, 'search_volume': 260}, {'year': 2025, 'month': 2, 'search_volume': 320}, {'year': 2025, 'month': 1, 'search_volume': 480}, {'year': 2024, 'month': 12, 'search_volume': 390}, {'year': 2024, 'month': 11, 'search_volume': 260}, {'year': 2024, 'month': 10, 'search_volume': 260}, {'year': 2024, 'month': 9, 'search_volume': 210}, {'year': 2024, 'month': 8, 'search_volume': 140}, {'year': 2024, 'month': 7, 'search_volume': 170}]"
lentil and spinach soup,1600,LOW,,,"[{'year': 2025, 'month': 6, 'search_volume': 880}, {'year': 2025, 'month': 5, 'search_volume': 1000}, {'year': 2025, 'month': 4, 'search_volume': 1600}, {'year': 2025, 'month': 3, 'search_volume': 1900}, {'year': 2025, 'month': 2, 'search_volume': 1900}, {'year': 2025, 'month': 1, 'search_volume': 2900}, {'year': 2024, 'month': 12, 'search_volume': 1900}, {'year': 2024, 'month': 11, 'search_volume': 1900}, {'year': 2024, 'month': 10, 'search_volume': 2900}, {'year': 2024, 'month': 9, 'search_volume': 1900}, {'year': 2024, 'month': 8, 'search_volume': 1000}, {'year': 2024, 'month': 7, 'search_volume': 880}]"
lentil and split pea soup,590,LOW,,0.23,"[{'year': 2025, 'month': 6, 'search_volume': 320}, {'year': 2025, 'month': 5, 'search_volume': 480}, {'year': 2025, 'month': 4, 'search_volume': 590}, {'year': 2025, 'month': 3, 'search_volume': 590}, {'year': 2025, 'month': 2, 'search_volume': 720}, {'year': 2025, 'month': 1, 'search_volume': 1300}, {'year': 2024, 'month': 12, 'search_volume': 1000}, {'year': 2024, 'month': 11, 'search_volume': 880}, {'year': 2024, 'month': 10, 'search_volume': 720}, {'year': 2024, 'month': 9, 'search_volume': 480}, {'year': 2024, 'month': 8, 'search_volume': 390}, {'year': 2024, 'month': 7, 'search_volume': 320}]"
lentil and tomato soup,1900,LOW,,,"[{'year': 2025, 'month': 6, 'search_volume': 880}, {'year': 2025, 'month': 5, 'search_volume': 1000}, {'year': 2025, 'month': 4, 'search_volume': 1300}, {'year': 2025, 'month': 3, 'search_volume': 1600}, {'year': 2025, 'month': 2, 'search_volume': 2400}, {'year': 2025, 'month': 1, 'search_volume': 3600}, {'year': 2024, 'month': 12, 'search_volume': 3600}, {'year': 2024, 'month': 11, 'search_volume': 4400}, {'year': 2024, 'month': 10, 'search_volume': 1900}, {'year': 2024, 'month': 9, 'search_volume': 2400}, {'year': 2024, 'month': 8, 'search_volume': 1000}, {'year': 2024, 'month': 7, 'search_volume': 880}]"
lentil and vegetable soup,4400,LOW,,0.27,"[{'year': 2025, 'month': 6, 'search_volume': 2400}, {'year': 2025, 'month': 5, 'search_volume': 2900}, {'year': 2025, 'month': 4, 'search_volume': 3600}, {'year': 2025, 'month': 3, 'search_volume': 4400}, {'year': 2025, 'month': 2, 'search_volume': 5400}, {'year': 2025, 'month': 1, 'search_volume': 8100}, {'year': 2024, 'month': 12, 'search_volume': 5400}, {'year': 2024, 'month': 11, 'search_volume': 5400}, {'year': 2024, 'month': 10, 'search_volume': 5400}, {'year': 2024, 'month': 9, 'search_volume': 4400}, {'year': 2024, 'month': 8, 'search_volume': 2900}, {'year': 2024, 'month': 7, 'search_volume': 2400}]"
lentil and vegetable soup jamie oliver,70,LOW,,,"[{'year': 2025, 'month': 6, 'search_volume': 20}, {'year': 2025, 'month': 5, 'search_volume': 40}, {'year': 2025, 'month': 4, 'search_volume': 50}, {'year': 2025, 'month': 3, 'search_volume': 70}, {'year': 2025, 'month': 2, 'search_volume': 70}, {'year': 2025, 'month': 1, 'search_volume': 140}, {'year': 2024, 'month': 12, 'search_volume': 90}, {'year': 2024, 'month': 11, 'search_volume': 110}, {'year': 2024, 'month': 10, 'search_volume': 110}, {'year': 2024, 'month': 9, 'search_volume': 70}, {'year': 2024, 'month': 8, 'search_volume': 40}, {'year': 2024, 'month': 7, 'search_volume': 30}]"
lentil daily harvest,10,LOW,,,"[{'year': 2025, 'month': 6, 'search_volume': 10}, {'year': 2025, 'month': 5, 'search_volume': 10}, {'year': 2025, 'month': 4, 'search_volume': 10}, {'year': 2025, 'month': 3, 'search_volume': 0}, {'year': 2025, 'month': 2, 'search_volume': 10}, {'year': 2025, 'month': 1, 'search_volume': 10}, {'year': 2024, 'month': 12, 'search_volume': 10}, {'year': 2024, 'month': 11, 'search_volume': 10}, {'year': 2024, 'month': 10, 'search_volume': 10}, {'year': 2024, 'month': 9, 'search_volume': 10}, {'year': 2024, 'month': 8, 'search_volume': 10}, {'year': 2024, 'month': 7, 'search_volume': 10}]"
lentil fried rice,50,LOW,,,"[{'year': 2025, 'month': 6, 'search_volume': 50}, {'year': 2025, 'month': 5, 'search_volume': 50}, {'year': 2025, 'month': 4, 'search_volume': 50}, {'year': 2025, 'month': 3, 'search_volume': 70}, {'year': 2025, 'month': 2, 'search_volume': 70}, {'year': 2025, 'month': 1, 'search_volume': 70}, {'year': 2024, 'month': 12, 'search_volume': 50}, {'year': 2024, 'month': 11, 'search_volume': 40}, {'year': 2024, 'month': 10, 'search_volume': 70}, {'year': 2024, 'month': 9, 'search_volume': 70}, {'year': 2024, 'month': 8, 'search_volume': 50}, {'year': 2024, 'month': 7, 'search_volume': 50}]"
lentil lasagna,390,LOW,,,"[{'year': 2025, 'month': 6, 'search_volume': 210}, {'year': 2025, 'month': 5, 'search_volume': 320}, {'year': 2025, 'month': 4, 'search_volume': 390}, {'year': 2025, 'month': 3, 'search_volume': 390}, {'year': 2025, 'month': 2, 'search_volume': 390}, {'year': 2025, 'month': 1, 'search_volume': 590}, {'year': 2024, 'month': 12, 'search_volume': 590}, {'year': 2024, 'month': 11, 'search_volume': 480}, {'year': 2024, 'month': 10, 'search_volume': 390}, {'year': 2024, 'month': 9, 'search_volume': 390}, {'year': 2024, 'month': 8, 'search_volume': 390}, {'year': 2024, 'month': 7, 'search_volume': 320}]"
lentil lasagne,110,LOW,,,"[{'year': 2025, 'month': 6, 'search_volume': 50}, {'year': 2025, 'month': 5, 'search_volume': 90}, {'year': 2025, 'month': 4, 'search_volume': 90}, {'year': 2025, 'month': 3, 'search_volume': 110}, {'year': 2025, 'month': 2, 'search_volume': 110}, {'year': 2025, 'month': 1, 'search_volume': 140}, {'year': 2024, 'month': 12, 'search_volume': 170}, {'year': 2024, 'month': 11, 'search_volume': 140}, {'year': 2024, 'month': 10, 'search_volume': 70}, {'year': 2024, 'month': 9, 'search_volume': 90}, {'year': 2024, 'month': 8, 'search_volume': 90}, {'year': 2024, 'month': 7, 'search_volume': 70}]"
lentil lasagne jamie oliver,20,LOW,,,"[{'year': 2025, 'month': 6, 'search_volume': 10}, {'year': 2025, 'month': 5, 'search_volume': 10}, {'year': 2025, 'month': 4, 'search_volume': 10}, {'year': 2025, 'month': 3, 'search_volume': 40}, {'year': 2025, 'month': 2, 'search_volume': 20}, {'year': 2025, 'month': 1, 'search_volume': 30}, {'year': 2024, 'month': 12, 'search_volume': 20}, {'year': 2024, 'month': 11, 'search_volume': 30}, {'year': 2024, 'month': 10, 'search_volume': 20}, {'year': 2024, 'month': 9, 'search_volume': 10}, {'year': 2024, 'month': 8, 'search_volume': 10}, {'year': 2024, 'month': 7, 'search_volume': 10}]"
lentil meatloaf,1300,LOW,,,"[{'year': 2025, 'month': 6, 'search_volume': 880}, {'year': 2025, 'month': 5, 'search_volume': 1000}, {'year': 2025, 'month': 4, 'search_volume': 1300}, {'year': 2025, 'month': 3, 'search_volume': 1600}, {'year': 2025, 'month': 2, 'search_volume': 1300}, {'year': 2025, 'month': 1, 'search_volume': 1600}, {'year': 2024, 'month': 12, 'search_volume': 1600}, {'year': 2024, 'month': 11, 'search_volume': 1600}, {'year': 2024, 'month': 10, 'search_volume': 1300}, {'year': 2024, 'month': 9, 'search_volume': 1300}, {'year': 2024, 'month': 8, 'search_volume': 1300}, {'year': 2024, 'month': 7, 'search_volume': 1000}]"
lentil menu,40,LOW,,,"[{'year': 2025, 'month': 6, 'search_volume': 20}, {'year': 2025, 'month': 5, 'search_volume': 30}, {'year': 2025, 'month': 4, 'search_volume': 30}, {'year': 2025, 'month': 3, 'search_volume': 50}, {'year': 2025, 'month': 2, 'search_volume': 20}, {'year': 2025, 'month': 1, 'search_volume': 40}, {'year': 2024, 'month': 12, 'search_volume': 20}, {'year': 2024, 'month': 11, 'search_volume': 30}, {'year': 2024, 'month': 10, 'search_volume': 20}, {'year': 2024, 'month': 9, 'search_volume': 40}, {'year': 2024, 'month': 8, 'search_volume': 70}, {'year': 2024, 'month': 7, 'search_volume': 140}]"
lentil pasta sauce,720,LOW,,0.68,"[{'year': 2025, 'month': 6, 'search_volume': 590}, {'year': 2025, 'month': 5, 'search_volume': 720}, {'year': 2025, 'month': 4, 'search_volume': 590}, {'year': 2025, 'month': 3, 'search_volume': 880}, {'year': 2025, 'month': 2, 'search_volume': 590}, {'year': 2025, 'month': 1, 'search_volume': 720}, {'year': 2024, 'month': 12, 'search_volume': 480}, {'year': 2024, 'month': 11, 'search_volume': 480}, {'year': 2024, 'month': 10, 'search_volume': 590}, {'year': 2024, 'month': 9, 'search_volume': 1300}, {'year': 2024, 'month': 8, 'search_volume': 590}, {'year': 2024, 'month': 7, 'search_volume': 880}]"
lentil pea soup,260,LOW,,0.63,"[{'year': 2025, 'month': 6, 'search_volume': 210}, {'year': 2025, 'month': 5, 'search_volume': 210}, {'year': 2025, 'month': 4, 'search_volume': 260}, {'year': 2025, 'month': 3, 'search_volume': 260}, {'year': 2025, 'month': 2, 'search_volume': 320}, {'year': 2025, 'month': 1, 'search_volume': 480}, {'year': 2024, 'month': 12, 'search_volume': 390}, {'year': 2024, 'month': 11, 'search_volume': 260}, {'year': 2024, 'month': 10, 'search_volume': 260}, {'year': 2024, 'month': 9, 'search_volume': 210}, {'year': 2024, 'month': 8, 'search_volume': 140}, {'year': 2024, 'month': 7, 'search_volume': 170}]"
