keyword,search_volume,competition,competition_level,cpc,monthly_searches
sprouted lentils,3600,HIGH,,1.53,"[{'year': 2025, 'month': 6, 'search_volume': 2900}, {'year': 2025, 'month': 5, 'search_volume': 3600}, {'year': 2025, 'month': 4, 'search_volume': 3600}, {'year': 2025, 'month': 3, 'search_volume': 5400}, {'year': 2025, 'month': 2, 'search_volume': 5400}, {'year': 2025, 'month': 1, 'search_volume': 5400}, {'year': 2024, 'month': 12, 'search_volume': 3600}, {'year': 2024, 'month': 11, 'search_volume': 2900}, {'year': 2024, 'month': 10, 'search_volume': 2900}, {'year': 2024, 'month': 9, 'search_volume': 2900}, {'year': 2024, 'month': 8, 'search_volume': 2900}, {'year': 2024, 'month': 7, 'search_volume': 2900}]"
dried lentils,2900,MEDIUM,,0.32,"[{'year': 2025, 'month': 6, 'search_volume': 4400}, {'year': 2025, 'month': 5, 'search_volume': 5400}, {'year': 2025, 'month': 4, 'search_volume': 4400}, {'year': 2025, 'month': 3, 'search_volume': 4400}, {'year': 2025, 'month': 2, 'search_volume': 2400}, {'year': 2025, 'month': 1, 'search_volume': 2900}, {'year': 2024, 'month': 12, 'search_volume': 1900}, {'year': 2024, 'month': 11, 'search_volume': 1600}, {'year': 2024, 'month': 10, 'search_volume': 1900}, {'year': 2024, 'month': 9, 'search_volume': 1600}, {'year': 2024, 'month': 8, 'search_volume': 1300}, {'year': 2024, 'month': 7, 'search_volume': 1300}]"
cooking lentils,9900,MEDIUM,,0.08,"[{'year': 2025, 'month': 6, 'search_volume': 8100}, {'year': 2025, 'month': 5, 'search_volume': 8100}, {'year': 2025, 'month': 4, 'search_volume': 9900}, {'year': 2025, 'month': 3, 'search_volume': 9900}, {'year': 2025, 'month': 2, 'search_volume': 9900}, {'year': 2025, 'month': 1, 'search_volume': 12100}, {'year': 2024, 'month': 12, 'search_volume': 8100}, {'year': 2024, 'month': 11, 'search_volume': 8100}, {'year': 2024, 'month': 10, 'search_volume': 8100}, {'year': 2024, 'month': 9, 'search_volume': 9900}, {'year': 2024, 'month': 8, 'search_volume': 8100}, {'year': 2024, 'month': 7, 'search_volume': 8100}]"
buy lentils,170,HIGH,,1.01,"[{'year': 2025, 'month': 6, 'search_volume': 140}, {'year': 2025, 'month': 5, 'search_volume': 170}, {'year': 2025, 'month': 4, 'search_volume': 170}, {'year': 2025, 'month': 3, 'search_volume': 170}, {'year': 2025, 'month': 2, 'search_volume': 170}, {'year': 2025, 'month': 1, 'search_volume': 170}, {'year': 2024, 'month': 12, 'search_volume': 110}, {'year': 2024, 'month': 11, 'search_volume': 90}, {'year': 2024, 'month': 10, 'search_volume': 140}, {'year': 2024, 'month': 9, 'search_volume': 110}, {'year': 2024, 'month': 8, 'search_volume': 210}, {'year': 2024, 'month': 7, 'search_volume': 210}]"
mighty lil lentils,170,HIGH,,0.72,"[{'year': 2025, 'month': 6, 'search_volume': 170}, {'year': 2025, 'month': 5, 'search_volume': 140}, {'year': 2025, 'month': 4, 'search_volume': 170}, {'year': 2025, 'month': 3, 'search_volume': 210}, {'year': 2025, 'month': 2, 'search_volume': 140}, {'year': 2025, 'month': 1, 'search_volume': 210}, {'year': 2024, 'month': 12, 'search_volume': 140}, {'year': 2024, 'month': 11, 'search_volume': 170}, {'year': 2024, 'month': 10, 'search_volume': 210}, {'year': 2024, 'month': 9, 'search_volume': 210}, {'year': 2024, 'month': 8, 'search_volume': 260}, {'year': 2024, 'month': 7, 'search_volume': 210}]"
hello fresh lentils,10,LOW,,,"[{'year': 2025, 'month': 6, 'search_volume': 20}, {'year': 2025, 'month': 5, 'search_volume': 10}, {'year': 2025, 'month': 4, 'search_volume': 10}, {'year': 2025, 'month': 3, 'search_volume': 10}, {'year': 2025, 'month': 2, 'search_volume': 10}, {'year': 2025, 'month': 1, 'search_volume': 10}, {'year': 2024, 'month': 12, 'search_volume': 10}, {'year': 2024, 'month': 11, 'search_volume': 10}, {'year': 2024, 'month': 10, 'search_volume': 10}, {'year': 2024, 'month': 9, 'search_volume': 10}, {'year': 2024, 'month': 8, 'search_volume': 10}, {'year': 2024, 'month': 7, 'search_volume': 10}]"
three farmers lentils,50,HIGH,,0.45,"[{'year': 2025, 'month': 6, 'search_volume': 70}, {'year': 2025, 'month': 5, 'search_volume': 50}, {'year': 2025, 'month': 4, 'search_volume': 40}, {'year': 2025, 'month': 3, 'search_volume': 50}, {'year': 2025, 'month': 2, 'search_volume': 40}, {'year': 2025, 'month': 1, 'search_volume': 70}, {'year': 2024, 'month': 12, 'search_volume': 50}, {'year': 2024, 'month': 11, 'search_volume': 50}, {'year': 2024, 'month': 10, 'search_volume': 50}, {'year': 2024, 'month': 9, 'search_volume': 50}, {'year': 2024, 'month': 8, 'search_volume': 50}, {'year': 2024, 'month': 7, 'search_volume': 70}]"
roasted lentils,590,HIGH,,0.59,"[{'year': 2025, 'month': 6, 'search_volume': 590}, {'year': 2025, 'month': 5, 'search_volume': 720}, {'year': 2025, 'month': 4, 'search_volume': 720}, {'year': 2025, 'month': 3, 'search_volume': 590}, {'year': 2025, 'month': 2, 'search_volume': 480}, {'year': 2025, 'month': 1, 'search_volume': 590}, {'year': 2024, 'month': 12, 'search_volume': 480}, {'year': 2024, 'month': 11, 'search_volume': 480}, {'year': 2024, 'month': 10, 'search_volume': 720}, {'year': 2024, 'month': 9, 'search_volume': 720}, {'year': 2024, 'month': 8, 'search_volume': 590}, {'year': 2024, 'month': 7, 'search_volume': 720}]"
water lentils,390,LOW,,,"[{'year': 2025, 'month': 6, 'search_volume': 260}, {'year': 2025, 'month': 5, 'search_volume': 260}, {'year': 2025, 'month': 4, 'search_volume': 480}, {'year': 2025, 'month': 3, 'search_volume': 390}, {'year': 2025, 'month': 2, 'search_volume': 480}, {'year': 2025, 'month': 1, 'search_volume': 390}, {'year': 2024, 'month': 12, 'search_volume': 320}, {'year': 2024, 'month': 11, 'search_volume': 390}, {'year': 2024, 'month': 10, 'search_volume': 390}, {'year': 2024, 'month': 9, 'search_volume': 320}, {'year': 2024, 'month': 8, 'search_volume': 260}, {'year': 2024, 'month': 7, 'search_volume': 320}]"
orange lentils,880,MEDIUM,,0.22,"[{'year': 2025, 'month': 6, 'search_volume': 590}, {'year': 2025, 'month': 5, 'search_volume': 720}, {'year': 2025, 'month': 4, 'search_volume': 720}, {'year': 2025, 'month': 3, 'search_volume': 1000}, {'year': 2025, 'month': 2, 'search_volume': 880}, {'year': 2025, 'month': 1, 'search_volume': 1000}, {'year': 2024, 'month': 12, 'search_volume': 880}, {'year': 2024, 'month': 11, 'search_volume': 880}, {'year': 2024, 'month': 10, 'search_volume': 1000}, {'year': 2024, 'month': 9, 'search_volume': 880}, {'year': 2024, 'month': 8, 'search_volume': 720}, {'year': 2024, 'month': 7, 'search_volume': 720}]"
